code,name,market,sectorName,tradePrice,marketCap,per,sectorPer,pbr,roe,debt_pct,op_margin,vol_mult,vol_mult_max5,amt_avg20,ret_60d,ret_6m,off_high_pct,foreignRatio,total,signal,naver_url,s_per,s_sector,s_pbr,s_roe,s_opm,s_debt,s_vol,s_amt,s_size,s_dip
314140,알피바이오,KOSDAQ,,6260.0,54251419860,11.33,47.04134,0.49,4.365367546195433,46.043,10.287050040214458,0.2742383004733474,0.6688789903846539,393332053.5,21.78988326848248,-12.201963534361848,-31.43483023001096,0.0195949603,44.8,,https://finance.naver.com/item/main.naver?code=314140,5.004545454545454,8.0,7.0,0.0,4.286500023655564,7.245035294117646,0.0,0.5881904237561386,10.0,2.67935377875137
031330,에스에이엠티,KOSDAQ,,7970.0,796960683990,9.94,243.40487,1.55,15.59301625526791,178.915,5.72153530202289,0.3457709624433261,0.7361131230496522,7304261100.5,-46.79572763684913,42.57602862254024,-60.05012531328321,0.073261234,44.8,,https://finance.naver.com/item/main.naver?code=031330,6.9,8.0,4.06,6.355809753160747,1.6009031188369938,0.9922352941176474,0.0,6.932275172581388,5.0,5.0
214420,토니모리,KOSPI,,5290.0,127249886710,11.37,45.51779,1.07,9.437019036046983,82.598,4.189060377927169,0.2871567060191821,0.543677892069879,995548596.75,-1.6728624535315983,-37.39644970414201,-53.1858407079646,0.0229367121,44.8,,https://finance.naver.com/item/main.naver?code=214420,4.950000000000001,8.0,5.404,2.6622114216281902,0.6994472811336289,5.5248,0.0,2.604706049149206,10.0,5.0
083450,GST,KOSDAQ,,43000.0,792490000000,16.25,29.55114,2.44,15.043354317614918,29.73,15.577040908491444,0.8487960126164376,1.1037218642772335,6184380566.25,-25.34722222222222,33.33333333333333,-39.26553672316384,0.224872382,44.7,,https://finance.naver.com/item/main.naver?code=083450,0.0,6.001410887476197,1.5680000000000003,6.026012590568952,7.398259357936143,8.0,0.5186093213861676,6.5708747602681505,5.0,3.65819209039548
003160,디아이,KOSPI,,31250.0,884375000000,155.36,29.55114,4.84,3.1175441386989027,93.874,23.47717491430708,1.9586285387923632,7.618042593469737,10764151341.25,13.224637681159424,-14.617486338797814,-25.059952038369303,0.1546328622,44.7,,https://finance.naver.com/item/main.naver?code=003160,0.0,0.0,0.0,0.0,10.0,4.994164705882353,15.0,7.774292702428696,5.0,1.882494004796163
008060,대덕,KOSPI,,14520.0,454288662960,143.4,243.40487,0.83,0.5818551576093097,32.226,14.00017304071682,1.655747241253687,1.8454955166699964,1069019497.0,-23.73949579831933,12.558139534883717,-40.369609856262834,0.1499186981,44.7,,https://finance.naver.com/item/main.naver?code=008060,0.0,5.4781084152780775,6.076,0.0,6.470690023951072,7.8952470588235295,4.227477583349982,2.7593218565723188,8.0,3.796201232032854
099430,바이오플러스,KOSDAQ,,3370.0,207729233140,13.04,-32.56516,1.16,8.905315029919041,48.058,24.593331709418067,0.4462247750863901,0.5608665502181227,860223597.6,-26.33879781420765,-34.68992248062015,-54.14965986394557,0.0314667794,44.6,,https://finance.naver.com/item/main.naver?code=099430,2.6727272727272737,0.0,5.152,2.343189017951425,10.0,7.150211764705882,0.0,2.287450486004605,10.0,5.0
017800,현대엘리베이터,KOSPI,,74900.0,2928019636500,10.29,172.69608,1.99,19.380507343124165,191.184,12.193030625122942,0.3639273195151314,0.92666205028092,10988166452.5,-1.5768725361366642,-25.472636815920403,-33.95061728395061,0.2211265442,44.5,,https://finance.naver.com/item/main.naver?code=017800,6.422727272727274,8.0,2.8280000000000003,8.628304405874498,5.407665073601731,0.4148705882352942,0.0,7.819019874599498,2.0,2.9938271604938267
004560,현대비앤지스틸,KOSPI,,11650.0,175668148150,11.88,29.98253,0.34,2.845232195434801,41.561,4.700321572612625,0.5429144410806225,1.2568374502657846,369314882.0,-6.799999999999995,-42.03980099502488,-54.31372549019608,0.0481970362,44.4,,https://finance.naver.com/item/main.naver?code=004560,4.254545454545454,8.0,7.0,0.0,1.0001891603603674,7.45595294117647,1.2841872513289232,0.45137776858640954,10.0,5.0
218410,RFHIC,KOSDAQ,,48300.0,1283593848600,41.03,-312.01702,3.47,8.455442583732058,33.585,21.72070997896979,0.7804031770153543,2.12944317018679,17233138038.75,-33.65384615384615,-15.706806282722518,-61.93853427895981,0.2129155933,44.3,,https://finance.naver.com/item/main.naver?code=218410,0.0,0.0,0.0,2.0732655502392348,10.0,7.831294117647058,5.647215850933951,8.796215560195577,5.0,5.0
003780,진양산업,KOSPI,,3900.0,50700000000,7.18,-31.96432,0.74,10.340821068938808,67.568,6.88974766114551,0.2081146016132798,0.4745944833161361,389534699.3,-25.4302103250478,-37.898089171974526,-51.79233621755253,0.0394762308,44.3,,https://finance.naver.com/item/main.naver?code=003780,10.663636363636364,0.0,6.327999999999999,3.204492641363285,2.2880868594973585,6.232094117647059,0.0,0.5671244773085249,10.0,5.0
237880,클리오,KOSDAQ,,12370.0,223542636610,16.57,45.51779,0.9,5.4457587997691865,29.667,13.383212480872276,0.3687917465080382,0.5288570892241792,2867191208.75,19.056785370548603,-5.500381970970203,-19.3085453359426,0.0279032787,44.3,,https://finance.naver.com/item/main.naver?code=237880,0.0,8.0,5.880000000000001,0.26745527986151196,6.107772047571927,8.0,0.0,4.901677008253076,10.0,1.163568166992825
